ID	103post	103pre	104post	104pre	107post	107pre	109post	109pre	111post	111pre	116post	116pre	118post	118pre	119post	119pre	123post	123pre	124post	124pre	127post	127pre	130post	130pre	133post	133pre	138post	138pre	139post	139pre	140post	140pre
3f8c83534cd95e430ee64a4f966169fb	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	21	216	0	0	0	0	0	0	0	0	0	4	0	0	0	0
494e7cb040a86bd3d91e7066a86d06d0	21	0	0	0	0	0	0	0	0	6	0	0	5	4	0	0	0	0	0	0	0	0	0	0	34	19	0	0	0	0	0	0
50935370327b2c7621fb3bf842aff307	0	0	34	15	0	0	0	0	0	0	0	0	122	0	0	0	23	0	0	0	0	0	0	31	0	0	25	13	0	0	0	0
7aa47d031d30f937cc5283b98f32f344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
795afb2dc8981e9f33fdc2243dd67c11	0	0	105	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42bf0230501446f0ac41a1cfa733a019	0	0	0	0	0	0	0	0	0	14	0	0	0	12	34	20	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f221f8076616963818a94ba26d64e786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	9	0	0	6	0	0	0
f2f5de6ed76bb0723cf1b61219904050	17	0	19	24	0	0	10	23	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	39	0	25	24
65654770a942b3ed73ed3001ce78e695	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	30	10
7f47e44138ceed006ea492d8464f8637	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	22	0	11	23	0	0	0	0	0	0	0	0	0	0	0	0
d2e384899f80cca5ef1896eab0c862ee	0	0	0	0	0	0	0	0	117	63	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0
5b9a6dbfc952e746732fc2d8d850487d	0	0	19	0	15	0	6	9	0	9	0	0	0	0	0	0	0	0	0	0	0	38	12	0	0	0	0	0	11	8	0	0
25e66412d5d3929fdd2e88b4a4affff2	0	0	0	0	0	0	0	0	19	17	0	0	70	52	0	0	19	0	0	0	0	0	0	0	0	0	16	10	0	0	0	0
eedfcf07c3604960f7f54e17d4d170ba	10	0	0	0	0	0	0	0	35	24	0	0	0	0	0	0	0	0	0	0	0	0	84	42	0	0	0	0	0	0	0	0
cec58b5ab062695f1f163c48964d2ff1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	60	87	0	0	0	0	0	0	21	0	16	0
62d8d67e8095731d106fa6f30180041b	0	0	16	0	37	39	0	0	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	10	7	0
39fbbdb269c209c5405e7fc70d2a0ec9	0	0	0	0	26	0	22	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	19	14	0	0	0	0	28
2767d4a7a901f282028a4285918789f1	10	0	0	0	0	0	0	0	0	11	0	0	12	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a30e6cc09462ab39fa984611f8742bf0	0	0	0	0	50	29	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	35
225d61c2946d8c499a55465dc493edbe	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	72
ea052139a16a1ef0b7cdc98011d93b09	0	0	25	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5	0	0	0	0
78a5b220c399011a5a72ce2755fc54ac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e29324327c99c1b90dee97aa116998d2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
913e0ac3fe1767a88a0d99d8cfb1b096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	70	0	0	0	0	0	0	0	0	0	0
04bb565690893e54ba147a858e9c57da	14	0	0	0	43	12	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
d897e821df898583baa7e832da459cfa	0	0	0	0	138	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c701c3a70957b56b5fcfe64394278c29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
d45051b862ebc3b764c6cd4758045a5c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24a243c38014e2daa1fadd8c23ec578f	15	0	0	0	0	0	13	0	0	0	69	2	0	0	0	10	0	6	0	4	0	0	0	0	0	0	0	0	15	0	0	5
4f44782d2e9483b14e4b8b3edc66c612	0	0	0	0	0	0	0	0	11	7	0	22	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	6	17
86254a9956fcb87aead3ede5680ad82a	7	0	10	0	0	0	0	0	0	13	0	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	10
35b02bf1210d1555b77db5fe81d1fd97	0	0	15	0	0	23	0	0	7	0	0	4	0	0	0	0	0	0	0	0	0	0	0	11	0	0	6	11	7	0	10	7
